iter	Passed	Remaining
398	218104	328523
399	218683	328024
400	219247	327504
401	219778	326934
402	220314	326372
403	220853	325813
404	221369	325221
405	221886	324631
406	222370	323995
407	223057	323652
408	223592	323087
409	224096	322480
410	224675	321980
411	225129	321301
412	225600	320647
413	226004	319899
414	226644	319486
415	227182	318929
416	227676	318309
417	228235	317781
418	228727	317161
419	229162	316462
420	229630	315810
421	230236	315348
422	230774	314791
423	231290	314206
424	231698	313475
425	232194	312862
426	232798	312397
427	233277	311762
428	233767	311145
429	234408	310728
430	234890	310099
431	235313	309394
432	235925	308937
433	236443	308356
434	236913	307714
435	237497	307220
436	237962	306573
437	238482	305998
438	238987	305403
439	239491	304807
440	240020	304243
441	240653	303811
442	241279	303369
443	241817	302816
444	242378	302292
445	242922	301746
446	243443	301172
447	243968	300603
448	244491	300032
449	245041	299494
450	245618	298990
451	246131	298407
452	246617	297792
453	247185	297275
454	247705	296702
455	248138	296024
456	248685	295484
457	249210	294916
458	249705	294315
459	250231	293749
460	250802	293238
461	251326	292670
462	251714	291945
463	252279	291425
464	252758	290807
465	253268	290225
466	253613	289456
467	254157	288914
468	254582	288237
469	255063	287625
470	255516	286981
471	256042	286420
472	256554	285844
473	257022	285219
474	257405	284500
475	257885	283891
476	258363	283278
477	258822	282647
478	259292	282028
479	259716	281359
480	260095	280643
481	260570	280032
482	261162	279546
483	261631	278929
484	262114	278328
485	262536	277661
486	262949	276987
487	263414	276369
488	263871	275743
489	264318	275107
490	264710	274415
491	265218	273843
492	265870	273420
493	266603	273079
494	267364	272765
495	268227	272553
496	268922	272168
497	269616	271782
498	270230	271314
499	271025	271025
500	271611	270527
501	272422	270251
502	273023	269766
503	273557	269215
504	274276	268845
505	274845	268327
506	275516	267908
507	276081	267386
508	276760	266973
509	277457	266576
510	278000	266031
511	278611	265551
512	279225	265073
513	279838	264594
514	280438	264101
515	281053	263623
516	281708	263182
517	282334	262712
518	282881	262169
519	283326	261532
520	283830	260949
521	284263	260302
522	284562	259534
523	285016	258908
524	285432	258248
525	285684	257441
526	286177	256854
527	286653	256250
528	287160	255676
529	287724	255152
530	288220	254568
531	288693	253963
532	289178	253369
533	289665	252779
534	290150	252186
535	290589	251554
536	291122	251005
537	291618	250423
538	292147	249870
539	292575	249230
540	293037	248621
541	293478	247994
542	293913	247363
543	294408	246783
544	294874	246179
545	295278	245524
546	295909	245058
547	296419	244492
548	296914	243913
549	297480	243393
550	297982	242820
551	298502	242262
552	298941	241639
553	299424	241053
554	299910	240468
555	300421	239904
556	300929	239339
557	301376	238724
558	301836	238121
559	302376	237581
560	302794	236945
561	303408	236464
562	303896	235883
563	304324	235257
564	304783	234656
565	305264	234071
566	305774	233510
567	306400	233036
568	306869	232444
569	307325	231842
570	307712	231188
571	308236	230638
572	308715	230054
573	309212	229485
574	309707	228914
575	310600	228636
576	311372	228268
577	312104	227868
578	312590	227289
579	313043	226686
580	313562	226132
581	314043	225550
582	314582	225010
583	315411	224676
584	316080	224227
585	316430	223553
586	316988	223026
587	317515	222477
588	318003	221900
589	318492	221325
590	318909	220700
591	319483	220184
592	320018	219641
593	320519	219075
594	321026	218513
595	321508	217935
596	321914	217305
597	322418	216742
598	323107	216303
599	323600	215733
600	324084	215157
601	324564	214579
602	325042	213999
603	325536	213430
604	326022	212857
605	326569	212323
606	327031	211735
607	327560	211190
608	328030	210607
609	328641	210115
610	329169	209569
611	329612	208970
612	330088	208392
613	330500	207773
614	331027	207228
615	331566	206691
616	331939	206049
617	332481	205514
618	332931	204922
619	333446	204370
620	333935	203802
621	334432	203240
622	334918	202671
623	335415	202109
624	335868	201520
625	336362	200957
626	337027	200496
627	337513	199928
628	337942	199327
629	338347	198712
630	338844	198151
631	339490	197677
632	339977	197111
633	340459	196542
634	340833	195911
635	341191	195272
636	341718	194731
637	342213	194171
638	342672	193590
639	343239	193072
640	343681	192482
641	344121	191893
642	344570	191308
643	345092	190765
644	345584	190205
645	346085	189650
646	346585	189095
647	347065	188529
648	347503	187941
649	347944	187354
650	348399	186776
651	349118	186339
652	349553	185750
653	350038	185188
654	350526	184628
655	350963	184041
656	351350	183429
657	351808	182854
658	352280	182287
659	352890	181792
660	353346	181217
661	353809	180645
662	354207	180042
663	354749	179511
664	355239	178955
665	355754	178411
666	356274	177870
667	356776	177319
668	357210	176736
669	357829	176244
670	358306	175682
671	358776	175117
672	359298	174577
673	359784	174020
674	360429	173540
675	360969	173009
676	361477	172462
677	361916	171883
678	362394	171323
679	362897	170775
680	363327	170192
681	363807	169634
682	364280	169073
683	364768	168518
684	365380	168021
685	365856	167462
686	366303	166889
687	366752	166317
688	367287	165785
689	367738	165216
690	368198	164650
691	368670	164090
692	369286	163594
693	369757	163034
694	370300	162505
695	370970	162033
696	371432	161469
697	372026	160962
698	372497	160402
699	372982	159849
700	373490	159306
701	373953	158743
702	374494	158214
703	374981	157662
704	375492	157120
705	375945	156555
706	376432	156004
707	376859	155428
708	377372	154887
709	377824	154322
710	378315	153773
711	378816	153229
712	379348	152697
713	379740	152108
714	380201	151548
715	380659	150988
716	381109	150424
717	381558	149859
718	382050	149313
719	382543	148766
720	383027	148217
721	383475	147653
722	384013	147125
723	384509	146580
724	384920	146004
725	385382	145447
