iter	RMSE
288	1.285058843
289	1.279078188
290	1.27760156
291	1.277593577
292	1.276679724
293	1.269395431
294	1.264621821
295	1.257313099
296	1.256608616
297	1.256244509
298	1.255701545
299	1.252903781
300	1.251294917
301	1.250443472
302	1.248856688
303	1.24679905
304	1.246732109
305	1.2446052
306	1.240869741
307	1.240460336
308	1.239559537
309	1.235864538
310	1.234767092
311	1.233519217
312	1.232913219
313	1.231480757
314	1.23146877
315	1.228623172
316	1.22440587
317	1.222278098
318	1.222253176
319	1.218973557
320	1.218197922
321	1.217648666
322	1.217219474
323	1.213152255
324	1.209429009
325	1.208858472
326	1.208228008
327	1.204811177
328	1.204108288
329	1.203618885
330	1.203033609
331	1.198355269
332	1.198345467
333	1.195644281
334	1.191085539
335	1.187617528
336	1.186734963
337	1.182398387
338	1.180935018
339	1.180626215
340	1.179978137
341	1.177656713
342	1.177087103
343	1.176741259
344	1.175885535
345	1.175527976
346	1.173448114
347	1.172444978
348	1.171705158
349	1.171326156
350	1.170633021
351	1.16945675
352	1.16945094
353	1.168427798
354	1.168044807
355	1.167658918
356	1.166114046
357	1.164800124
358	1.161588322
359	1.161448349
360	1.16104176
361	1.159095964
362	1.158501194
363	1.158196721
364	1.158192255
365	1.157710593
366	1.157605257
367	1.151731973
368	1.149951939
369	1.149763551
370	1.147588868
371	1.146058109
372	1.146050951
373	1.146049808
374	1.145851315
375	1.145432871
376	1.144812187
377	1.14481097
378	1.143708815
379	1.143527307
380	1.143473474
381	1.142238026
382	1.14210156
383	1.140263267
384	1.140076254
385	1.138356313
386	1.138230088
387	1.136100987
388	1.135936054
389	1.135418052
390	1.134742752
391	1.133693759
392	1.130023154
393	1.123875339
394	1.12181059
395	1.121516335
396	1.120585
397	1.11891972
398	1.118429031
399	1.116278225
400	1.114628991
401	1.112791437
402	1.111512964
403	1.111398677
404	1.111138912
405	1.110933364
406	1.109210416
407	1.107813465
408	1.10657408
409	1.105770842
410	1.105331627
411	1.105071449
412	1.104291249
413	1.103851736
414	1.103546563
415	1.101783765
416	1.10072927
417	1.099610337
418	1.099501964
419	1.099480983
420	1.099478571
421	1.097723969
422	1.095060831
423	1.094530081
424	1.094204468
425	1.093961239
426	1.09275605
427	1.092598608
428	1.092278172
429	1.091544312
430	1.090023811
431	1.090017632
432	1.089812257
433	1.089004166
434	1.088887116
435	1.087260495
436	1.087258435
437	1.08628489
438	1.084406885
439	1.084256071
440	1.083424045
441	1.08306192
442	1.082817279
443	1.082323793
444	1.081687202
445	1.081235373
446	1.080573098
447	1.078441355
448	1.077051614
449	1.075815162
450	1.074446686
451	1.071079446
452	1.069855376
453	1.06952288
454	1.068083061
455	1.062566982
456	1.06193518
457	1.061634957
458	1.058283929
459	1.057932697
460	1.057736738
461	1.057470441
462	1.056585202
463	1.056217275
464	1.055918175
465	1.055484627
466	1.054064378
467	1.053484735
468	1.052859956
469	1.05202091
470	1.051870684
471	1.051555153
472	1.051226474
473	1.050411125
474	1.050209648
475	1.049337547
476	1.048621776
477	1.048404076
478	1.047379921
479	1.047166451
480	1.046894407
481	1.046642344
482	1.045021882
483	1.041404658
484	1.041268279
485	1.038777185
486	1.038309307
487	1.037462454
488	1.037396323
489	1.036933878
490	1.036440649
491	1.036339713
492	1.035803366
493	1.035598515
494	1.034899943
495	1.033531034
496	1.033106663
497	1.032790213
498	1.032614856
499	1.031335287
500	1.030561526
501	1.028564276
502	1.028183005
503	1.028159629
504	1.025449885
505	1.025320741
506	1.024471025
507	1.024266866
508	1.021678344
509	1.021182409
510	1.02056815
511	1.02043851
512	1.020161663
513	1.018824485
514	1.01815606
515	1.016960512
516	1.016368636
517	1.015944141
518	1.015427952
519	1.014604219
520	1.014204562
521	1.014193347
522	1.013820639
523	1.013538758
524	1.012685842
525	1.012263292
526	1.012128538
527	1.011653653
528	1.01133921
529	1.011057544
530	1.010773037
531	1.009907418
532	1.009496032
533	1.008683931
534	1.007647478
535	1.007646957
536	1.006771027
537	1.006001774
538	1.005814388
539	1.005584696
540	1.005189192
541	1.005188313
542	1.002150057
543	1.001937562
544	1.001467944
545	1.00114283
546	1.000846406
547	0.9993864184
548	0.9984744849
549	0.9967285836
550	0.9951534265
551	0.9945475796
552	0.9944378548
553	0.9939685938
554	0.9937414196
555	0.9915213336
556	0.9912311323
557	0.9904293331
558	0.9864639824
559	0.9848112563
560	0.9847002974
561	0.9845203737
562	0.9843497769
563	0.9843338378
564	0.984143799
565	0.983330713
566	0.9827379621
567	0.9822556806
568	0.9820870126
569	0.9820827864
570	0.9817383298
571	0.9816465308
572	0.981641761
573	0.9813364123
574	0.9803811213
575	0.979857641
576	0.9786208446
577	0.9770243542
578	0.976951549
579	0.9768589187
580	0.9762933514
581	0.9761730787
582	0.9746298047
583	0.9738793436
584	0.9734029464
585	0.9731493184
586	0.9719429934
587	0.9701529435
588	0.9699214892
589	0.9694307164
590	0.9690535476
591	0.9682221854
592	0.9679490137
593	0.9667514136
594	0.9660196443
595	0.9657513327
596	0.9653862364
597	0.9652512574
598	0.9640612014
599	0.9638581224
600	0.9623241626
601	0.9618621268
602	0.9606221478
603	0.9602910946
604	0.9601092724
605	0.9592668018
606	0.9588546265
607	0.9584684745
608	0.9581263819
609	0.9574965976
610	0.9570936789
611	0.9570931205
612	0.9570635875
613	0.9567428544
614	0.9562506877
615	0.9558819132
616	0.9557648436
617	0.9553625595
618	0.955076768
619	0.9530273923
620	0.9519366753
621	0.9515204487
622	0.9500271168
623	0.949716266
624	0.9494461012
625	0.9491230385
626	0.9480895552
627	0.9471766042
628	0.9468695675
629	0.9468059502
630	0.9462583669
631	0.9461076211
632	0.9459403529
633	0.9440934177
634	0.9440008221
635	0.9439933791
636	0.9432135147
637	0.9428866308
638	0.9426030606
639	0.9413600394
640	0.9412115426
641	0.9411344657
642	0.9409735192
643	0.9407545995
644	0.9399051409
645	0.939680913
646	0.9390546485
647	0.9388450407
648	0.9381719263
649	0.9377229663
650	0.9370175103
651	0.936580783
652	0.935421133
653	0.934916639
654	0.9347271328
655	0.9347264297
656	0.933649837
657	0.9334027723
658	0.9331541325
659	0.9314596597
660	0.9309515554
661	0.9308639507
662	0.9306643826
663	0.9299601757
664	0.9295449997
665	0.927583512
666	0.9275488384
667	0.9270130109
668	0.9265930582
669	0.926130124
670	0.9260295868
671	0.9247723718
672	0.9234083308
673	0.9222912318
674	0.9216141315
675	0.9215435259
676	0.91957789
677	0.9192686473
678	0.9190509769
679	0.9149738382
680	0.9147249468
681	0.9146516655
682	0.9142503541
683	0.9141585331
684	0.9139458378
685	0.9130951974
686	0.9129988572
687	0.9123680575
688	0.9120432082
689	0.9118116394
690	0.911792017
691	0.9116755477
692	0.9110159767
693	0.9102837381
694	0.9100148184
695	0.909624748
696	0.9094061812
697	0.9091966242
698	0.9087544756
699	0.9084100294
700	0.9075016716
701	0.907238301
702	0.9070898484
703	0.9063833617
704	0.9035926584
705	0.9030509688
706	0.9024989781
707	0.9015277815
708	0.9007470129
709	0.9005447891
710	0.9001153376
711	0.8967832635
712	0.8965421588
713	0.896420714
714	0.896036723
715	0.8959089959
716	0.8956867766
717	0.8951512814
718	0.8946901773
719	0.8946013609
720	0.8943832322
721	0.8943489227
722	0.8941273131
723	0.8934765613
724	0.8930233451
725	0.8929084725
726	0.8928095557
727	0.8926254821
728	0.8924741756
729	0.892305112
730	0.8921422862
731	0.8919622925
732	0.8917320878
733	0.8915993339
734	0.8913849135
735	0.8907433024
736	0.8904871344
737	0.8900626694
738	0.8878901116
739	0.8876825736
740	0.887434303
741	0.8872854208
742	0.8872369772
743	0.886205493
744	0.8861797956
745	0.8861729994
746	0.8859885249
747	0.8857701355
748	0.8836020268
749	0.882567001
750	0.882261162
751	0.8813375471
752	0.8812479649
753	0.8810776268
754	0.8810120332
755	0.8809909257
756	0.8809858964
757	0.8808402305
758	0.8807895207
759	0.8804496183
760	0.8802942871
761	0.8773379935
762	0.8770590427
763	0.8769420891
764	0.8767747223
765	0.875479347
766	0.8745770591
767	0.8745299023
768	0.8743833721
769	0.8729740466
770	0.8728429261
771	0.8726462187
772	0.8725320478
773	0.8721350487
774	0.8715797878
775	0.8709372829
776	0.8709259498
777	0.869952643
778	0.8698573044
779	0.8698107883
780	0.8697575339
781	0.8695744664
782	0.8694195122
783	0.8692916763
784	0.8690868634
785	0.8689648257
786	0.8688078637
787	0.8687357675
788	0.8677938424
789	0.867471443
790	0.8672841248
791	0.8670014163
792	0.8661628719
793	0.8644332286
794	0.8643528935
795	0.8635101471
796	0.863509284
797	0.8614754678
798	0.8610903013
799	0.8599322257
800	0.8598458866
801	0.8597026887
802	0.8590085456
803	0.8586972158
804	0.8585976744
805	0.8576665467
806	0.8575972662
807	0.8564510896
808	0.8562497277
809	0.8560149564
810	0.855894765
811	0.8553054102
812	0.8552774737
813	0.8546117978
814	0.8534832753
815	0.8534171476
816	0.8529641205
817	0.8524848439
818	0.8524450219
819	0.8522135679
820	0.8517325517
821	0.8516011267
822	0.8513950042
823	0.8500006227
824	0.8495961131
825	0.849365453
826	0.8483627794
827	0.8473026042
828	0.8472880423
829	0.8468584605
830	0.8463431634
831	0.8461084217
832	0.845911471
833	0.8457753293
834	0.8456690867
835	0.8454334076
836	0.8453230895
837	0.8453129959
838	0.8451587707
839	0.8450086326
840	0.8447984606
841	0.8446809181
842	0.8446403182
843	0.843699291
844	0.8433288561
845	0.8433195515
846	0.8432412956
847	0.8430513541
848	0.8429060663
849	0.8428716904
850	0.8428369796
851	0.8427194395
852	0.8419770156
853	0.840029468
854	0.8398284583
855	0.8397574865
856	0.8397006224
857	0.8395043148
858	0.8395036968
859	0.8391040307
860	0.8387549607
861	0.8386212773
862	0.8382632361
863	0.8381938926
864	0.8380891037
865	0.8380373053
866	0.8380258791
867	0.8379040711
868	0.8375946604
869	0.8374536863
870	0.8373943799
871	0.8372214413
872	0.837058117
873	0.836944838
874	0.8366249489
875	0.8365107525
876	0.8363897838
877	0.8361711008
878	0.8359572452
879	0.8357876629
880	0.8356180638
881	0.8355149988
882	0.8350073115
883	0.8343782908
884	0.8335401056
885	0.8333977309
886	0.8330851138
887	0.8327268909
888	0.8324159088
889	0.8323482969
890	0.8317273252
891	0.8316212685
892	0.8315198078
893	0.831386598
894	0.8311932956
895	0.830903166
896	0.8307342487
897	0.8305087255
898	0.8304262621
899	0.8303749565
900	0.8302534546
901	0.8301558194
902	0.8297505495
903	0.8296577831
904	0.8295650982
905	0.8293253237
906	0.8291516625
907	0.82902078
908	0.8287244632
909	0.8286157625
910	0.8285408982
911	0.8284610356
912	0.8277349568
913	0.8276055802
914	0.8273788164
915	0.8259615648
916	0.8257751046
917	0.8256428265
918	0.8255036207
919	0.8254736683
920	0.8252943655
921	0.8250903157
922	0.8250500815
923	0.8248502034
924	0.8246641895
925	0.8245112001
926	0.8243224097
927	0.8242989355
928	0.8242389589
929	0.8241823934
930	0.8240455929
931	0.8232460772
932	0.8231787138
933	0.8229625731
934	0.8229378194
935	0.8227355519
936	0.8226586706
937	0.8225077604
938	0.82250629
939	0.8224794705
940	0.8223143562
941	0.8222811323
942	0.8221649959
943	0.8214786444
944	0.8211916957
945	0.8211274072
946	0.8203656863
947	0.8201314309
948	0.8199001481
949	0.8198283018
950	0.8195361
951	0.8192169714
952	0.819145707
953	0.8191444905
954	0.8187676407
955	0.8185168473
956	0.818490329
957	0.8184308285
958	0.8181120479
959	0.8179227363
960	0.8177930173
961	0.8177660102
962	0.817659128
963	0.8175258481
964	0.8166814071
965	0.8165755039
966	0.8165678365
967	0.8165215647
968	0.8163941585
969	0.8163711137
970	0.8162984438
971	0.8161915185
972	0.8161613038
973	0.8161409323
974	0.8161404472
975	0.815536216
976	0.8153252488
977	0.8153246115
978	0.8149321399
979	0.8148530599
980	0.8148493785
981	0.8147634865
982	0.8145166922
983	0.8144611714
984	0.8144074299
985	0.8143961019
986	0.813872342
987	0.8138641678
988	0.8137968544
989	0.8137883525
990	0.8137865056
991	0.8137616954
992	0.8136419458
993	0.8135869298
994	0.8133857246
995	0.813345051
996	0.8133176538
997	0.813226279
998	0.8130997331
999	0.8122948285
